12:19:33:725 -> 
12:19:33:725 -> Direction:0
12:19:33:725 -> Servo_pos:1
12:19:33:725 -> Direction:0
12:19:33:784 -> Servo_pos:1
12:19:33:784 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:788 -> Direction:0
12:19:33:788 -> Servo_pos:1
12:19:33:790 -> Direction:0
12:19:33:790 -> Servo_pos:1
12:19:33:790 -> Direction:0
12:19:33:790 -> Servo_pos:1
12:19:33:790 -> Direction:0
12:19:33:793 -> Servo_pos:1
12:19:33:793 -> Direction:0
12:19:33:793 -> Servo_pos:1
12:19:33:795 -> Direction:0
12:19:33:795 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
12:19:33:805 -> Servo_pos:1
12:19:33:805 -> Direction:0
